#,Invoice,Additional information,Right steering wheel position,Climatisation,Colour,Origin,Varnish,Number of Seats,Door Count,Power,Type,Drive,VIN number,Brand,Offer type,Light,Origin,Engine capacity,Mileage,Fuel,Year of production,Transmission,Condition,Varnish,Features- safety,Features-  comfort,Features-  multimedia,Features- other,Download_date,Model,Ticket,Price,Serie,Title
12,Nie wystawiam faktury,,,automatyczna dwustrefowa,Czarny,,,,4,140 KM,Kabriolet,Na przednie ko?a,,Audi,,,,1999 cm³,183000 km,Diesel,2008,Manualna,U?ywany,,,,,,2020-07-07 15:00:22.587824,A3,9443884815,28900,8P (2003-2012),Audi A3 Cabrio 2.0 TDI 140 KM S-Line 9443884815 - Allegro.pl
13,Wystawiam faktur? VAT-mar?a,,,brak,Czerwony,,,4/5,5,110 KM,Hatchback,Na przednie ko?a,WAUZZZ8V6FA088117,Audi,sprzeda?,?wiat?a przeciwmg?owe,,1600 cm³,182805 km,Diesel,2014,Automatyczna,U?ywany,,,,,,2020-07-07 15:00:23.822969,A3,9425779667,42900,8V (2012-),"Automatyczna skrzynia, Navi, Bluetooth 9425779667 - Allegro.pl"
14,Wystawiam faktur? VAT,,Nie,automatyczna dwustrefowa,Srebrny,,Metalik,,5,252 KM,Sedan,4x4,,Audi,sprzeda?,,,1984 cm³,8500 km,Benzyna,2018,Automatyczna,U?ywany,,,,,,2020-07-07 15:00:25.390370,A4,9372959806,112000,B9 (2015-),"AUDI A4 QUATTRO 2.0 TFSI 252KM, S-LINE F-VAT 23% 9372959806 - Allegro.pl"
15,Nie wystawiam faktury,,Nie,manualna,inny,,Metalik,4/5,5,140 KM,Sedan,Na przednie ko?a,WAUZZZ4F38N001817,Audi,sprzeda?,,,1968 cm³,264000 km,Diesel,2007,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:26.544352,A6,9458107668,22900,C6 (2004-2011),"Audi a6 c6 2007r 2.0 TDI (1968 cm, 140 km, 103kW) 9458107668 - Allegro.pl"
16,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Szary,,Metalik,4/5,5,140 KM,Sedan,Na przednie ko?a,,Audi,sprzeda?,,import,1968 cm³,272000 km,Diesel,2004,Automatyczna,U?ywany,,,,,,2020-07-07 15:00:27.857962,A6,9457319746,22700,C6 (2004-2011),AUDI A6 C6 2.0 TDI 140KM SEDAN SKÓRA NAVI BI-XENON 9457319746 - Allegro.pl
17,Wystawiam faktur? VAT-mar?a,,,automatyczna czterostrefowa,Czarny,,Metalik,4/5,5,190 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,,2000 cm³,157 km,Diesel,2016,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:29.340501,A4,9441727987,83900,B9 (2015-),S-LINE PLUS_MAX OPCJA_SZARE SKÓRY_WENTYLE_VIRTUAL 9441727987 - Allegro.pl
18,Wystawiam faktur? VAT-mar?a,Bezwypadkowy,Nie,automatyczna dwustrefowa,Czarny,,Metalik,,5,165 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,import,2393 cm³,219300 km,Benzyna,1999,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:30.724255,A6,9417827193,8900,C5 (1997-2004),"AUDI A6 C5 100% LAKIER S-LINE 2,4 BENZYNA NIEMIECY 9417827193 - Allegro.pl"
19,Nie wystawiam faktury,,,automatyczna dwustrefowa,Czarny,,,,5,177 KM,Hatchback,4x4,,Audi,,,,2000 cm³,226000 km,Diesel,2009,Manualna,U?ywany,,,,,,2020-07-07 15:00:32.183292,A3,9444956660,29800,8P (2003-2012),AUDI A3 (8P1) 2.0 TDI 170KM Quattro Lift -Okazja 9444956660 - Allegro.pl
20,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Czerwony,,Metalik,,5,143 KM,Kombi,Na przednie ko?a,,Audi,,,,1986 cm³,236201 km,Diesel,2010,Manualna,U?ywany,,,,,,2020-07-07 15:00:33.429153,A4,9468323171,36900,B8 (2007-2015),"S4 * 2,0 TDI 143 PS * CZERWONY S-LINE * PI?KNA * 9468323171 - Allegro.pl"
21,Nie wystawiam faktury,,Nie,automatyczna jednostrefowa,Srebrny,Niemcy,,4/5,5,120 KM,Kombi,Na przednie ko?a,WAUZZZ8K6BA079756,Audi,,,,1800 cm³,137000 km,Benzyna,2010,Manualna,U?ywany,,,,,,2020-07-07 15:00:35.079102,A4,9444642870,34900,B8 (2007-2015),"Audi A4 120KM, Ma?y Przebieg 137ty?, Orygina? 9444642870 - Allegro.pl"
22,Nie wystawiam faktury,,Nie,automatyczna dwustrefowa,Srebrny,Francja,Metalik,2/3,5,140 KM,Liftback,Na przednie ko?a,,Audi,sprzeda?,,import,1968 cm³,240000 km,Diesel,2004,Manualna,U?ywany,,,,,,2020-07-07 15:00:47.474601,A3,9401385451,8500,8P (2003-2012),Audi a3 8P diesel klima alu doinwestowany zobacz 9401385451 - Allegro.pl
23,Wystawiam faktur? VAT,,Nie,automatyczna dwustrefowa,Czarny,Polska,Metalik,,5,218 KM,Sedan,4x4,,Audi,sprzeda?,,krajowe,2967 cm³,257000 km,Diesel,2011,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:48.477180,A6,9454240218,48000,C7 (2011-),"AUDI A6 (4G2, 4GC, C7) 3.0 TDI quattro 218 KM 9454240218 - Allegro.pl"
24,Nie wystawiam faktury,,Nie,automatyczna czterostrefowa,Br?zowy,Niemcy,Per?owy,4/5,5,190 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,import,2000 cm³,200000 km,Diesel,2017,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:49.992034,A4,9413622137,83300,B9 (2015-),AUDI A4 2.0 TDI S Line MAXXX IDEALNE 100% ORYGINA? 9413622137 - Allegro.pl
25,Nie wystawiam faktury,,,automatyczna jednostrefowa,Czarny,,Metalik,,4,245 KM,Coupe,Na przednie ko?a,,Audi,sprzeda?,,,2967 cm³,82000 km,Diesel,2012,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:51.182604,A5,9467898147,76000,8T (2007-2016),Audi A5 Coupe 3.0 TDI S-Line 9467898147 - Allegro.pl
26,Nie wystawiam faktury,,Nie,automatyczna jednostrefowa,inny,,Metalik,4/5,5,211 KM,Sedan,Na przednie ko?a,,Audi,sprzeda?,,,1984 cm³,173000 km,Benzyna,2012,Automatyczna,U?ywany,,,,,,2020-07-07 15:00:52.531820,A4,8992398670,36900,B8 (2007-2015),AUDI A4 B8 tfsi 211km super stan 8992398670 - Allegro.pl
27,Nie wystawiam faktury,Serwisowany w ASO,Nie,automatyczna dwustrefowa,inny,Niemcy,Metalik,4/5,5,245 KM,Kombi,4x4,,Audi,sprzeda?,,import,3000 cm³,229000 km,Diesel,2013,Automatyczna,U?ywany,,,,,,2020-07-07 15:00:53.468460,A4,9450651626,42900,B8 (2007-2015),"AUDI A4 ALLRAOD 3.0 TDI QUATTRO DISTRO, B&O !! 9450651626 - Allegro.pl"
28,Nie wystawiam faktury,,,automatyczna dwustrefowa,Srebrny,,,,5,170 KM,Kombi,Na przednie ko?a,,Audi,,,,1984 cm³,167000 km,Benzyna,2009,Automatyczna,U?ywany,,,,,,2020-07-07 15:00:54.959233,A6,9455185115,36500,C6 (2004-2011),Audi A6 2.0 TFSI LIFT BOSE Czarna Podsufitka Kombi 9455185115 - Allegro.pl
29,Nie wystawiam faktury,,,automatyczna czterostrefowa,Zielony,,,,5,177 KM,Kombi,Na przednie ko?a,,Audi,,,,2000 cm³,185000 km,Diesel,2013,Manualna,U?ywany,,,,,,2020-07-07 15:00:56.156581,A6,9222636370,55000,C7 (2011-),Audi A6 C7 2.0d 177 hp 2013 r Manual 9222636370 - Allegro.pl
30,Nie wystawiam faktury,,Nie,automatyczna dwustrefowa,Bia?y,Belgia,Metalik,2/3,4,140 KM,Kabriolet,Na przednie ko?a,TRUZZZ8P981006698,Audi,sprzeda?,,,1900 cm³,137600 km,Diesel,2009,Manualna,U?ywany,,,,,,2020-07-07 15:00:58.055562,A3,9466624275,41500,8P (2003-2012),CABRIO AUDI A3 1.9 TDI IBIS WHITE S-LINE BOSE PL 9466624275 - Allegro.pl
31,Wystawiam faktur? VAT,,Nie,automatyczna dwustrefowa,Czarny,,,4/5,5,150 KM,Sedan,4x4,,Audi,sprzeda?,?wiat?a mijania LED,,1968 cm³,151000 km,Diesel,2016,Manualna,U?ywany,,,,,,2020-07-07 15:00:59.428586,A3,9285449482,59999,8V (2012-),Audi A3 2.0 TDI 150 KM 2016 WARSZAWA VAT23% 9285449482 - Allegro.pl
32,Wystawiam faktur? VAT-mar?a,,,automatyczna czterostrefowa,Czarny,,Metalik,,5,190 KM,Kombi,4x4,,Audi,sprzeda?,,,2000 cm³,142512 km,Diesel,2016,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:00.792946,A4,9433302569,88900,B9 (2015-),TOTAL S-LINE PLUS QUATTRO 190_RADAR_VIRTUAL_MATRIX 9433302569 - Allegro.pl
33,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna czterostrefowa,Czarny,,Metalik,4/5,5,320 KM,Kombi,4x4,,Audi,sprzeda?,,,2967 cm³,226000 km,Diesel,2015,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:02.400753,A6,9461000362,115700,C7 (2011-),AUDI A6 3.0 V6T Bi-TURBO TDI 320KM S-LINE QUATTRO 9461000362 - Allegro.pl
34,Wystawiam faktur? VAT,,Nie,automatyczna czterostrefowa,Czarny,Niemcy,Metalik,4/5,5,190 KM,Kombi,Na przednie ko?a,WAUZZZ4G4GN176178,Audi,sprzeda?,,import,1968 cm³,151364 km,Diesel,2016,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:03.915477,A6,9417402250,93500,C7 (2011-),"Audi A6 2,0 TDi 190KM 2016R BOSE DACH ASO FaVat23% 9417402250 - Allegro.pl"
35,Nie wystawiam faktury,Serwisowany w ASO,Nie,automatyczna dwustrefowa,inny,Niemcy,Metalik,4/5,5,140 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,import,2000 cm³,127000 km,Diesel,2011,Manualna,U?ywany,,,,,,2020-07-07 15:01:05.652505,A4,9450188806,34990,B8 (2007-2015),AUDI A4 2.0 TDI SERWIS 127 TYS.KM !! 9450188806 - Allegro.pl
36,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna czterostrefowa,Br?zowy,Niemcy,Per?owy,4/5,5,190 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,import,1968 cm³,178 km,Diesel,2015,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:07.132212,A6,9403248844,86900,C7 (2011-),A6 S-LINE 190KM FULL LED ALU 20' KAM PANO 4-STREFY 9403248844 - Allegro.pl
37,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna jednostrefowa,Czarny,Austria,Akryl (niemetalizowany),4/5,5,211 KM,Terenowy,4x4,WAUZZZ8RX9A044581,Audi,sprzeda?,,import,1984 cm³,189000 km,Benzyna,2009,Manualna,U?ywany,,,,,,2020-07-07 15:01:08.555510,Q5,9319354130,45400,8R (2008-2016),AUDI Q5 2.0 TFSI quattro 211 KM skóra panorama 9319354130 - Allegro.pl
38,Nie wystawiam faktury,,Nie,automatyczna czterostrefowa,Czarny,Niemcy,Metalik,4/5,5,204 KM,Sedan,Na przednie ko?a,,Audi,,,import,2967 cm³,225620 km,Diesel,2011,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:10.019123,A6,9454995304,59999,C7 (2011-),AUDI A6 C7 2011 SEDAN 3.0 TDI XENON LED NAVI ALU 9454995304 - Allegro.pl
39,Nie wystawiam faktury,,Nie,automatyczna dwustrefowa,inny,Polska,Per?owy,4/5,5,130 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,?wiat?a przeciwmg?owe,import,1900 cm³,326621 km,Diesel,2002,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:12.037717,A4,9468690548,9000,B6 (2000-2004),audi a4 9468690548 - Allegro.pl
40,Nie wystawiam faktury,,,automatyczna jednostrefowa,Czarny,,,,5,140 KM,Kombi,Na przednie ko?a,,Audi,,,,1968 cm³,290000 km,Diesel,2005,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:13.286645,A4,9439022641,12900,B7 (2004-2007),AUDI A4 B7 140 km 8V!!! Prywatne!! 9439022641 - Allegro.pl
41,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna czterostrefowa,Szary,,Metalik,,5,252 KM,Sedan,4x4,,Audi,sprzeda?,,,1984 cm³,12700 km,Benzyna,2018,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:14.614920,A4,9378574516,129000,B9 (2015-),"Audi A4 QUATTRO 2.0TFSI S LINE, Radary,HUD,Kamery 9378574516 - Allegro.pl"
42,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Czarny,Belgia,Metalik,4/5,5,163 KM,Kombi,Na przednie ko?a,WAUZZZ4G5CN117103,Audi,sprzeda?,,import,1968 cm³,205000 km,Diesel,2012,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:15.939418,A6,9469007736,51900,C7 (2011-),Audi A6 Bi xenon Led Navi Skóry Tempomat Pdc 9469007736 - Allegro.pl
43,Nie wystawiam faktury,,Nie,automatyczna czterostrefowa,Bia?y,Stany Zjednoczone,Per?owy,4/5,5,340 KM,Sedan,4x4,,Audi,sprzeda?,,import,3000 cm³,9800 km,Benzyna,2019,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:17.050957,A6,9467467687,360000,C8 (2018-),Pi?kne A6 55TFSI 340KM Matrix LED NAVI ACC 360 9467467687 - Allegro.pl
44,Nie wystawiam faktury,Bezwypadkowy,,automatyczna dwustrefowa,Czarny,,,4/5,5,255 KM,Sedan,4x4,,Audi,,,,3123 cm³,260000 km,Benzyna,2005,Manualna,U?ywany,,,,,,2020-07-07 15:01:18.123131,A6,9391026006,22300,C6 (2004-2011),AUDI A6 C6 3.2 FSI V6 quattro 255 KM 9391026006 - Allegro.pl
45,Nie wystawiam faktury,,,automatyczna dwustrefowa,Czarny,,,4/5,5,225 KM,Sedan,4x4,,Audi,,,,2998 cm³,286000 km,Diesel,2006,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:19.356221,A6,9450311898,24900,C6 (2004-2011),Audi a6c6 9450311898 - Allegro.pl
46,Nie wystawiam faktury,,Nie,automatyczna jednostrefowa,Bia?y,Niemcy,,4/5,5,150 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,import,2000 cm³,180000 km,Diesel,2016,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:20.442345,A4,9356391669,75500,B9 (2015-),AUDI A4 2.0 TDI S Line MAXXX IDEALNE 100% ORYGINA? 9356391669 - Allegro.pl
47,Wystawiam faktur? VAT,,,automatyczna czterostrefowa,Szary,,Per?owy,,5,272 KM,Sedan,4x4,,Audi,sprzeda?,,,2967 cm³,175000 km,Diesel,2015,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:21.498274,A6,9440630015,95000,C7 (2011-),"AUDI A6 (4G2, 4GC, C7) 3.0 TDI quattro 272 KM 9440630015 - Allegro.pl"
48,Nie wystawiam faktury,,,automatyczna dwustrefowa,Czarny,,,,5,140 KM,Sedan,Na przednie ko?a,,Audi,,,,2000 cm³,278000 km,Diesel,2011,Manualna,U?ywany,,,,,,2020-07-07 15:01:23.094735,A4,9462347727,34500,B8 (2007-2015),Audi 2.0 tdi 2011 9462347727 - Allegro.pl
49,Wystawiam faktur? VAT,,Nie,automatyczna dwustrefowa,Bia?y,,,4/5,5,313 KM,Hatchback,4x4,,Audi,sprzeda?,,,2967 cm³,172000 km,Diesel,2013,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:24.478373,A7,9458225967,124999,C7 (2010-2018),AUDI A7 3.0 V6 BI-TURBO TDI 313KM QUATTRO BOOSTER 9458225967 - Allegro.pl
50,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,inny,Niemcy,Per?owy,,5,190 KM,Liftback,4x4,,Audi,sprzeda?,,import,1968 cm³,128 km,Diesel,2015,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:25.927682,A5,9468491155,85900,8T (2007-2016),A5 S-LINE PLUS *COMPETITION* 190PS *QUATTRO* MAX! 9468491155 - Allegro.pl
51,Nie wystawiam faktury,,,automatyczna dwustrefowa,Szary,,Metalik,4/5,5,233 KM,Kombi,4x4,,Audi,sprzeda?,,,2967 cm³,298252 km,Diesel,2005,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:28.937456,A6,9444615483,21500,C6 (2004-2011),"AUDI A6 (4F2, C6) 3.0 TDI quattro 233 KM 9444615483 - Allegro.pl"
52,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna czterostrefowa,inny,,Metalik,4/5,5,204 KM,Liftback,4x4,,Audi,sprzeda?,,,2967 cm³,237000 km,Diesel,2011,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:31.362404,A7,9314776090,75700,C7 (2010-2018),AUDI A7 3.0 V6 TDI JASNA SKÓRA NOKTOWIZOR HEAD-UP 9314776090 - Allegro.pl
53,Wystawiam faktur? VAT,,Nie,automatyczna czterostrefowa,Czarny,Niemcy,Metalik,,5,272 KM,Hatchback,4x4,,Audi,sprzeda?,,import,2967 cm³,148000 km,Diesel,2015,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:32.929538,A6,9422958498,103000,C7 (2011-),AUDI a6 3.0TDI 2015r. 4x4 b. zadbany 272KONI 9422958498 - Allegro.pl
54,Nie wystawiam faktury,,,automatyczna dwustrefowa,Czarny,,,,5,116 KM,Kombi,Na przednie ko?a,,Audi,,,krajowe,1896 cm³,263000 km,Diesel,2009,Manualna,U?ywany,,,,,,2020-07-07 15:01:33.876105,A4,9452248837,26600,B7 (2004-2007),"AUDI A4 Avant (8ED, B7) 2.0 TDI 143KM 9452248837 - Allegro.pl"
55,Wystawiam faktur? VAT,,Nie,automatyczna dwustrefowa,inny,,Metalik,,5,252 KM,Sedan,4x4,,Audi,sprzeda?,,,1984 cm³,14500 km,Benzyna,2018,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:35.175528,A4,9378581435,113000,B9 (2015-),"Audi A4 Quattro 2.0TFSI, S LINE, Bang&Olufsen 9378581435 - Allegro.pl"
56,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Czarny,Niemcy,,4/5,5,163 KM,Kombi,Na przednie ko?a,WAUZZZ8E46A241576,Audi,sprzeda?,,import,1800 cm³,200000 km,Benzyna,2006,Manualna,U?ywany,,,,,,2020-07-07 15:01:36.462278,A4,9444657263,21900,B7 (2004-2007),"Audi A4 1.8T 163KM, Bezwypadkowy, Gwarancja 9444657263 - Allegro.pl"
57,Wystawiam faktur? VAT-mar?a,Zarejestrowany w Polsce,Nie,automatyczna dwustrefowa,Czarny,Stany Zjednoczone,Metalik,4/5,5,220 KM,Sedan,4x4,,Audi,sprzeda?,,,1998 cm³,120000 km,Benzyna,2015,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:37.796645,A3,9128378869,49999,8V (2012-),Audi A3 8V 2.0 Benz 4x4 2015 Warszawa 9128378869 - Allegro.pl
58,Wystawiam faktur? VAT-mar?a,,,automatyczna czterostrefowa,Bordowy,,Metalik,4/5,5,150 KM,Sedan,Na przednie ko?a,,Audi,sprzeda?,,,1968 cm³,179000 km,Diesel,2017,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:38.883595,A4,9460838094,82900,B9 (2015-),RARYTAS_PRZYCI?GA WZROK_MATRIX_KREMOWE WN?TRZE 9460838094 - Allegro.pl
59,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Bia?y,,,2/3,5,204 KM,Kabriolet,Na przednie ko?a,,Audi,sprzeda?,,,3000 cm³,153000 km,Diesel,2012,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:40.150438,A5,9308174131,79900,8T (2007-2016),AUDI A5 RS5 CABRIO JEDYNE 3.0TD LIFT ALU20 ZAMIANA 9308174131 - Allegro.pl
60,Wystawiam faktur? VAT,,,automatyczna dwustrefowa,Szary,,,4/5,5,252 KM,Kombi,4x4,,Audi,,,import,1984 cm³,9500 km,Benzyna,2017,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:41.610986,A4 Allroad,9372961056,109000,,Audi A4 B9 Allroad Full Led Bang&Olufsen 9372961056 - Allegro.pl
61,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Srebrny,,,,5,160 KM,Sedan,Na przednie ko?a,,Audi,,,,1800 cm³,177600 km,Benzyna,2008,Manualna,U?ywany,,,,,,2020-07-07 15:01:43.186424,A4,9450941977,29900,B8 (2007-2015),"Audi A4 B8 1.8 Benzyna, Limuzyna, Reprezentatywny 9450941977 - Allegro.pl"
62,Nie wystawiam faktury,,,manualna,Szary,,,,4,170 KM,Coupe,4x4,,Audi,,,,1968 cm³,247000 km,Diesel,2008,Manualna,U?ywany,,,,,,2020-07-07 15:01:44.747404,TT,9446467178,31500,8J (2006-2013),AUDI TT (8J3) 2.0 TDI quattro 170 KM 9446467178 - Allegro.pl
63,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Szary,,,,5,170 KM,Kombi,Na przednie ko?a,,Audi,,,,1986 cm³,265107 km,Diesel,2006,Manualna,U?ywany,,,,,,2020-07-07 15:01:45.896794,A4,9250323336,21700,B7 (2004-2007),"Audi A4 B7 2.0 TDI, Zarejestrowany, Bez wk?adu 9250323336 - Allegro.pl"
64,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Czerwony,,,4/5,5,115 KM,Hatchback,Na przednie ko?a,WAUZZZ8P86A160744,Audi,sprzeda?,?wiat?a przeciwmg?owe,,1600 cm³,155349 km,Benzyna,2006,Manualna,U?ywany,,,,,,2020-07-07 15:01:46.929734,A3,9368353546,20900,8P (2003-2012),"1.6 Serwis ASO,Niski przebieg ,Klima dwustrefowa, 9368353546 - Allegro.pl"
